timestep,episodic_return
999,0.0
2000,0.0
3001,0.0
4002,0.0
5003,0.0
6004,0.0
7005,0.0
8006,0.0
9007,0.0
10008,0.0
11009,0.0
12010,0.0
13011,0.0
14012,0.0
15013,0.0
16014,0.0
17015,0.0
18016,0.0
19017,0.0
20018,0.0
21019,0.0
22020,0.0
23021,0.0
24022,0.0
25023,0.0
26024,0.0
27025,0.0
28026,0.0
29027,0.0
30028,0.0
31029,0.0
32030,0.0
33031,0.0
34032,0.0
35033,0.0
36034,0.0
37035,0.0
38036,0.0
39037,0.0
40038,0.0
41039,0.0
42040,0.0
43041,0.0
44042,0.0
45043,0.0
46044,0.0
47045,0.0
48046,0.0
49047,0.0
50048,0.0
51049,0.0
52050,0.0
53051,0.0
54052,0.0
55053,0.0
56054,0.0
57055,0.0
58056,59.0
59057,0.0
60058,0.0
61059,0.0
62060,0.0
63061,0.0
64062,0.0
65063,0.0
66064,0.0
67065,71.0
68066,0.0
69067,0.0
70068,68.0
71069,0.0
72070,0.0
73071,0.0
74072,0.0
75073,0.0
76074,0.0
77075,48.0
78076,48.0
79077,0.0
80078,0.0
81079,0.0
82080,0.0
83081,112.0
84082,83.0
85083,0.0
86084,0.0
87085,0.0
88086,90.0
89087,0.0
90088,56.0
91089,0.0
92090,0.0
93091,0.0
94092,0.0
95093,0.0
96094,0.0
97095,0.0
98096,0.0
99097,0.0
100098,0.0
101099,0.0
102100,0.0
103101,0.0
104102,0.0
105103,816.0
106104,0.0
107105,0.0
108106,0.0
109107,0.0
110108,0.0
111109,69.0
112110,0.0
113111,928.0
114112,0.0
115113,0.0
116114,0.0
117115,0.0
118116,0.0
119117,0.0
120118,0.0
121119,917.0
122120,0.0
123121,0.0
124122,873.0
125123,0.0
126124,0.0
127125,0.0
128126,927.0
129127,877.0
130128,931.0
131129,0.0
132130,0.0
133131,0.0
134132,879.0
135133,933.0
136134,833.0
137135,0.0
138136,904.0
139137,899.0
140138,933.0
141139,926.0
142140,0.0
143141,0.0
144142,0.0
145143,756.0
